"seller_id","seller_city","seller_state","total_revenue","total_orders","avg_order_value"
"7c67e1448b00f6e969d365cea6b010ab","itaquaquecetuba","SP","505437.16","973","350.27"
"1025f0e2d44d7041d6cf58b6550e0bfa","sao paulo","SP","306000.35","910","210.45"
"4a3ca9315b744ce9f8e9374361493884","ibitinga","SP","295830.76","1772","141.28"
"1f50f920176fa81dab994f9023523100","sao jose do rio preto","SP","289861.38","1399","144.79"
"53243585a1d6dc2643021fd1853d8905","lauro de freitas","BA","279843.42","348","655.37"
"da8622b14eb17ae2831f4ac5b9dab84a","piracicaba","SP","271733.78","1311","166.40"
"4869f7a5dfa277a7dca6462dcf3b52b2","guariba","SP","261532.48","1124","222.01"
"955fee9216a65b617aa5c0531780ce60","sao paulo","SP","232136.06","1261","154.65"
"fa1c13f2614d7b5c4749cbc52fecda94","sumare","SP","203262.00","578","337.64"
"6560211a19b47992c3666cc44a7e94c0","sao paulo","SP","176097.10","1819","84.46"
